app,controller,topology,steps,rw_delta,ww_delta,alt_barr,data_deps,num_read,num_writes,num_ops,num_rw_time_edges,num_ww_time_edges,num_time_edges,num_harmful,num_commute,num_races,num_covered,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat
forwarding_fixed,POX_EEL,Mesh2,200,2,2,False,True,87,18,105,143,0,143,25,559,584,3,12,10,1,1,5
forwarding_fixed,POX_EEL,Mesh2,200,2,2,True,True,87,18,105,153,14,167,33,659,692,0,12,12,0,0,8
forwarding_fixed,POX_EEL,Mesh2,200,3,3,False,True,87,18,105,131,0,131,37,559,596,3,19,16,1,2,7
forwarding_fixed,POX_EEL,Mesh2,200,3,3,True,True,87,18,105,141,14,155,45,659,704,0,19,18,0,1,10
forwarding_fixed,POX_EEL,Mesh2,200,4,4,False,True,87,18,105,117,0,117,51,559,610,7,24,20,3,1,5
forwarding_fixed,POX_EEL,Mesh2,200,4,4,True,True,87,18,105,127,14,141,59,659,718,0,24,24,0,0,8
forwarding_fixed,POX_EEL,Mesh2,200,5,5,False,True,87,18,105,107,0,107,61,559,620,7,30,24,3,3,6
forwarding_fixed,POX_EEL,Mesh2,200,5,5,True,True,87,18,105,117,14,131,69,659,728,0,30,28,0,2,9
forwarding_fixed,POX_EEL,Mesh2,200,6,6,False,True,87,18,105,102,0,102,66,559,625,9,31,26,4,1,6
forwarding_fixed,POX_EEL,Mesh2,200,6,6,True,True,87,18,105,112,14,126,74,659,733,0,31,31,0,0,9
forwarding_fixed,POX_EEL,Mesh2,200,7,7,False,True,87,18,105,97,0,97,71,559,630,11,33,27,5,1,6
forwarding_fixed,POX_EEL,Mesh2,200,7,7,True,True,87,18,105,107,14,121,79,659,738,0,33,33,0,0,9
forwarding_fixed,POX_EEL,Mesh2,200,8,8,False,True,87,18,105,81,0,81,87,559,646,15,40,32,7,1,5
forwarding_fixed,POX_EEL,Mesh2,200,8,8,True,True,87,18,105,91,14,105,95,659,754,0,40,40,0,0,8
forwarding_fixed,POX_EEL,Mesh2,200,9,9,False,True,87,18,105,77,0,77,91,559,650,16,42,33,7,2,5
forwarding_fixed,POX_EEL,Mesh2,200,9,9,True,True,87,18,105,87,14,101,99,659,758,0,42,41,0,1,8
forwarding_fixed,POX_EEL,Mesh2,200,10,10,False,True,87,18,105,77,0,77,91,559,650,16,42,33,7,2,5
forwarding_fixed,POX_EEL,Mesh2,200,10,10,True,True,87,18,105,87,14,101,99,659,758,0,42,41,0,1,8
forwarding_fixed,POX_EEL,Mesh2,200,inf,inf,False,True,87,18,105,0,0,0,168,559,727,89,42,33,9,0,7
forwarding_fixed,POX_EEL,Mesh2,200,inf,inf,True,True,87,18,105,0,0,0,200,659,859,0,42,41,0,1,8
forwarding_fixed,POX_EEL,Star2,200,0,0,False,True,43,8,51,80,0,80,0,250,250,0,0,0,0,0,0
forwarding_fixed,POX_EEL,Star2,200,0,0,True,True,43,8,51,86,7,93,0,279,279,0,0,0,0,0,0
forwarding_fixed,POX_EEL,Star2,200,1,1,False,True,43,8,51,71,0,71,9,250,259,0,7,0,0,7,0
forwarding_fixed,POX_EEL,Star2,200,1,1,True,True,43,8,51,75,6,81,12,279,291,0,8,0,0,8,0
forwarding_fixed,POX_EEL,Star2,200,2,2,False,True,43,8,51,67,0,67,13,250,263,0,11,0,0,11,0
forwarding_fixed,POX_EEL,Star2,200,2,2,True,True,43,8,51,71,6,77,16,279,295,0,12,0,0,12,0
forwarding_fixed,POX_EEL,Star2,200,3,3,False,True,43,8,51,67,0,67,13,250,263,0,11,0,0,11,0
forwarding_fixed,POX_EEL,Star2,200,3,3,True,True,43,8,51,71,6,77,16,279,295,0,12,0,0,12,0
forwarding_fixed,POX_EEL,Star2,200,4,4,False,True,43,8,51,63,0,63,17,250,267,0,15,0,0,15,0
forwarding_fixed,POX_EEL,Star2,200,4,4,True,True,43,8,51,67,6,73,20,279,299,0,16,0,0,16,0
forwarding_fixed,POX_EEL,Star2,200,5,5,False,True,43,8,51,55,0,55,25,250,275,0,23,0,0,23,0
forwarding_fixed,POX_EEL,Star2,200,5,5,True,True,43,8,51,59,6,65,28,279,307,0,24,0,0,24,0
forwarding_fixed,POX_EEL,Star2,200,6,6,False,True,43,8,51,55,0,55,25,250,275,0,23,0,0,23,0
forwarding_fixed,POX_EEL,Star2,200,6,6,True,True,43,8,51,59,6,65,28,279,307,0,24,0,0,24,0
forwarding_fixed,POX_EEL,Star2,200,7,7,False,True,43,8,51,49,0,49,31,250,281,0,29,0,0,29,0
forwarding_fixed,POX_EEL,Star2,200,7,7,True,True,43,8,51,53,6,59,34,279,313,0,30,0,0,30,0
forwarding_fixed,POX_EEL,Star2,200,8,8,False,True,43,8,51,47,0,47,33,250,283,0,31,0,0,31,0
forwarding_fixed,POX_EEL,Star2,200,8,8,True,True,43,8,51,51,6,57,36,279,315,0,32,0,0,32,0
forwarding_fixed,POX_EEL,Star2,200,9,9,False,True,43,8,51,40,0,40,40,250,290,0,38,0,0,38,0
forwarding_fixed,POX_EEL,Star2,200,9,9,True,True,43,8,51,44,6,50,43,279,322,0,39,0,0,39,0
forwarding_fixed,POX_EEL,Star2,200,10,10,False,True,43,8,51,39,0,39,41,250,291,0,39,0,0,39,0
forwarding_fixed,POX_EEL,Star2,200,10,10,True,True,43,8,51,43,6,49,44,279,323,0,40,0,0,40,0
forwarding_fixed,POX_EEL,Star2,200,inf,inf,False,True,43,8,51,0,0,0,80,250,330,36,40,0,36,4,0
forwarding_fixed,POX_EEL,Star2,200,inf,inf,True,True,43,8,51,0,0,0,93,279,372,0,40,0,0,40,0
forwarding,POX,BinTree1,200,0,0,False,True,1193,55,1248,7491,160,7651,0,14798,14798,0,0,0,0,0,0
forwarding,POX,BinTree1,200,0,0,True,True,1193,55,1248,7509,200,7709,0,14810,14810,0,0,0,0,0,0
