App,Controller,Topology,Steps,rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
Forwarding,POX EEL Fixed,Linear,200,2,2,False,True,0.649389,0.428098,0.075998,0.037158,0.000546,0.011661,0.093965,0.001903,-0.000011
Forwarding,POX EEL Fixed,Linear,200,2,2,True,True,0.583864,0.421410,0.074983,0.029584,0.000545,0.012377,0.042722,0.002163,-0.000018
Forwarding,POX EEL Fixed,Linear,200,3,3,False,True,0.649817,0.431249,0.072247,0.035353,0.000617,0.012667,0.095340,0.002282,-0.000012
Forwarding,POX EEL Fixed,Linear,200,3,3,True,True,0.565486,0.411902,0.064548,0.029844,0.000519,0.012428,0.043585,0.002584,-0.000019
Forwarding,POX EEL Fixed,Linear,200,4,4,False,True,0.673347,0.441694,0.076962,0.034835,0.000546,0.012939,0.103360,0.002938,-0.000015
Forwarding,POX EEL Fixed,Linear,200,4,4,True,True,0.564424,0.409875,0.063909,0.013099,0.000505,0.027761,0.046084,0.003111,-0.000020
Forwarding,POX EEL Fixed,Linear,200,5,5,False,True,0.672165,0.450463,0.071756,0.032176,0.000513,0.012086,0.101742,0.003368,-0.000015
Forwarding,POX EEL Fixed,Linear,200,5,5,True,True,0.573321,0.419553,0.063779,0.011263,0.000524,0.028078,0.046192,0.003861,-0.000023
Forwarding,POX EEL Fixed,Linear,200,6,6,False,True,0.668923,0.441111,0.069757,0.032362,0.000543,0.012479,0.108692,0.003898,-0.000028
Forwarding,POX EEL Fixed,Linear,200,6,6,True,True,0.571457,0.412993,0.063359,0.010894,0.000544,0.026229,0.051708,0.005639,-0.000030
Forwarding,POX EEL Fixed,Linear,200,7,7,False,True,0.672798,0.442639,0.071803,0.030226,0.000515,0.013355,0.109701,0.004486,-0.000019
Forwarding,POX EEL Fixed,Linear,200,7,7,True,True,0.608494,0.435457,0.065758,0.010833,0.000567,0.029045,0.058619,0.008107,-0.000036
Forwarding,POX EEL Fixed,Linear,200,8,8,False,True,0.685807,0.439333,0.066163,0.032550,0.000555,0.013359,0.128313,0.005444,-0.000023
Forwarding,POX EEL Fixed,Linear,200,8,8,True,True,0.602449,0.430596,0.066518,0.010416,0.000637,0.029215,0.059309,0.005686,-0.000026
Forwarding,POX EEL Fixed,Linear,200,9,9,False,True,0.708671,0.454080,0.067884,0.016366,0.000583,0.028868,0.134416,0.006397,-0.000024
