App,Controller,Topology,Steps,rw_delta,ww_delta,alt_barr,data_deps,num_read,num_writes,num_ops,num_rw_time_edges,num_ww_time_edges,num_time_edges,num_harmful,num_commute,num_races,num_covered,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
Forwarding,POX EEL Fixed,Mesh2,200,6,6,False,True,107,16,123,120,0,120,69,585,654,44,35,7,27,1,1,15,0
Forwarding,POX EEL Fixed,Mesh2,200,6,6,True,True,107,16,123,131,12,143,79,672,751,21,38,17,21,0,4,15,0
Forwarding,POX EEL Fixed,Mesh2,200,7,7,False,True,107,16,123,113,0,113,76,585,661,46,40,8,29,3,1,15,0
Forwarding,POX EEL Fixed,Mesh2,200,7,7,True,True,107,16,123,124,12,136,86,672,758,22,43,18,22,3,4,15,0
Forwarding,POX EEL Fixed,Mesh2,200,8,8,False,True,107,16,123,103,0,103,86,585,671,53,45,9,34,2,1,15,0
Forwarding,POX EEL Fixed,Mesh2,200,8,8,True,True,107,16,123,114,12,126,96,672,768,25,48,20,25,3,4,15,0
Forwarding,POX EEL Fixed,Mesh2,200,9,9,False,True,107,16,123,97,0,97,92,585,677,59,47,9,37,1,1,15,0
Forwarding,POX EEL Fixed,Mesh2,200,9,9,True,True,107,16,123,108,12,120,102,672,774,28,50,21,28,1,4,15,0
Forwarding,POX EEL Fixed,Mesh2,200,10,10,False,True,107,16,123,96,0,96,93,585,678,60,47,9,37,1,1,15,0
Forwarding,POX EEL Fixed,Mesh2,200,10,10,True,True,107,16,123,107,12,119,103,672,775,29,50,21,29,0,4,15,0
Forwarding,POX EEL Fixed,Mesh2,200,inf,inf,False,True,107,16,123,0,0,0,189,585,774,152,49,10,37,2,2,15,0
Forwarding,POX EEL Fixed,Mesh2,200,inf,inf,True,True,107,16,123,0,0,0,222,672,894,29,52,52,0,0,7,15,4
Forwarding,POX EEL Fixed,Star2,200,0,0,False,True,40,8,48,72,2,74,0,238,238,0,0,0,0,0,0,6,0
Forwarding,POX EEL Fixed,Star2,200,0,0,True,True,40,8,48,76,7,83,0,252,252,0,0,0,0,0,0,6,0
Forwarding,POX EEL Fixed,Star2,200,1,1,False,True,40,8,48,68,2,70,4,238,242,2,4,0,2,2,0,6,0
Forwarding,POX EEL Fixed,Star2,200,1,1,True,True,40,8,48,70,6,76,7,252,259,0,6,0,0,6,0,6,0
Forwarding,POX EEL Fixed,Star2,200,2,2,False,True,40,8,48,63,2,65,9,238,247,3,9,0,3,6,0,6,0
Forwarding,POX EEL Fixed,Star2,200,2,2,True,True,40,8,48,65,6,71,12,252,264,0,11,0,0,11,0,6,0
Forwarding,POX EEL Fixed,Star2,200,3,3,False,True,40,8,48,60,2,62,12,238,250,4,12,0,4,8,0,6,0
Forwarding,POX EEL Fixed,Star2,200,3,3,True,True,40,8,48,62,6,68,15,252,267,0,14,0,0,14,0,6,0
Forwarding,POX EEL Fixed,Star2,200,4,4,False,True,40,8,48,57,2,59,15,238,253,5,15,0,5,10,0,6,0
Forwarding,POX EEL Fixed,Star2,200,4,4,True,True,40,8,48,59,6,65,18,252,270,0,17,0,0,17,0,6,0
Forwarding,POX EEL Fixed,Star2,200,5,5,False,True,40,8,48,55,2,57,17,238,255,6,17,0,6,11,0,6,0
Forwarding,POX EEL Fixed,Star2,200,5,5,True,True,40,8,48,57,6,63,20,252,272,0,19,0,0,19,0,6,0
Forwarding,POX EEL Fixed,Star2,200,6,6,False,True,40,8,48,47,2,49,25,238,263,7,25,0,7,18,0,6,0
Forwarding,POX EEL Fixed,Star2,200,6,6,True,True,40,8,48,49,6,55,28,252,280,0,27,0,0,27,0,6,0
Forwarding,POX EEL Fixed,Star2,200,7,7,False,True,40,8,48,41,2,43,31,238,269,10,31,0,10,21,0,6,0
Forwarding,POX EEL Fixed,Star2,200,7,7,True,True,40,8,48,43,6,49,34,252,286,0,33,0,0,33,0,6,0
