name,run,total_time_sec,
trace_pox_eel_l2_multi-StarTopology2,13,0.097295,
trace_pox_eel_l2_multi-StarTopology2,14,0.097842,
trace_pox_eel_l2_multi-StarTopology2,15,0.098113,
trace_pox_eel_l2_multi-StarTopology2,16,0.101494,
trace_pox_eel_l2_multi-StarTopology2,17,0.10125,
trace_pox_eel_l2_multi-StarTopology2,18,0.099582,
trace_pox_eel_l2_multi-StarTopology2,19,0.099988,
trace_pox_eel_l2_multi-StarTopology2,2,0.09823,
trace_pox_eel_l2_multi-StarTopology2,20,0.097981,
trace_pox_eel_l2_multi-StarTopology2,3,0.09773,
trace_pox_eel_l2_multi-StarTopology2,4,0.097981,
trace_pox_eel_l2_multi-StarTopology2,5,0.099602,
trace_pox_eel_l2_multi-StarTopology2,6,0.099252,
trace_pox_eel_l2_multi-StarTopology2,7,0.097531,
trace_pox_eel_l2_multi-StarTopology2,8,0.099409,
trace_pox_eel_l2_multi-StarTopology2,9,0.098596,
trace_pox_eel_l2_multi-MeshTopology2,1,0.282379,
trace_pox_eel_l2_multi-MeshTopology2,10,0.267452,
trace_pox_eel_l2_multi-MeshTopology2,11,0.267519,
trace_pox_eel_l2_multi-MeshTopology2,12,0.271052,
trace_pox_eel_l2_multi-MeshTopology2,13,0.263585,
trace_pox_eel_l2_multi-MeshTopology2,14,0.264949,
trace_pox_eel_l2_multi-MeshTopology2,15,0.265971,
trace_pox_eel_l2_multi-MeshTopology2,16,0.267621,
trace_pox_eel_l2_multi-MeshTopology2,17,0.268064,
trace_pox_eel_l2_multi-MeshTopology2,18,0.268344,
trace_pox_eel_l2_multi-MeshTopology2,19,0.268638,
trace_pox_eel_l2_multi-MeshTopology2,2,0.267024,
trace_pox_eel_l2_multi-MeshTopology2,20,0.268459,
trace_pox_eel_l2_multi-MeshTopology2,3,0.268349,
trace_pox_eel_l2_multi-MeshTopology2,4,0.273588,
trace_pox_eel_l2_multi-MeshTopology2,5,0.273719,
trace_pox_eel_l2_multi-MeshTopology2,6,0.273403,
trace_pox_eel_l2_multi-MeshTopology2,7,0.267503,
trace_pox_eel_l2_multi-MeshTopology2,8,0.267615,
trace_pox_eel_l2_multi-MeshTopology2,9,0.266739,
trace_pox_eel_l2_multi-BinaryLeafTreeTopology2,1,29.692706,
trace_pox_eel_l2_multi-BinaryLeafTreeTopology2,10,30.181598,
trace_pox_eel_l2_multi-BinaryLeafTreeTopology2,11,29.753831,
trace_pox_eel_l2_multi-BinaryLeafTreeTopology2,12,29.727981,
trace_pox_eel_l2_multi-BinaryLeafTreeTopology2,13,29.875154,
trace_pox_eel_l2_multi-BinaryLeafTreeTopology2,14,29.844767,
trace_pox_eel_l2_multi-BinaryLeafTreeTopology2,15,29.854021,
trace_pox_eel_l2_multi-BinaryLeafTreeTopology2,16,29.893461,
trace_pox_eel_l2_multi-BinaryLeafTreeTopology2,17,29.909976,
trace_pox_eel_l2_multi-BinaryLeafTreeTopology2,18,29.739411,
